record_id,shap_top_feature,shap_top_value,lime_top_feature,lime_top_value,agreement_score,agreement_tier,label,decision,risk_score,ensemble_confidence,ground_truth,shap_top_k,lime_top_k,lime_source,status,overlap_features,shap_only_features,lime_only_features,interpretation
W1-001,,,,,0.6667,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'protocol_enc', 'dst_port_numeric']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score']",['dst_is_any'],['protocol_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_port_numeric', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-002,,,,,0.25,,,,0.5,0.5725,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'action_enc', 'reasoning_length']","['compliance_severity', 'dst_port_numeric', 'confidence', 'direction_enc', 'dst_is_any']",real,DISAGREEMENT,"['compliance_severity', 'confidence']","['action_enc', 'reasoning_length', 'semantic_score']","['direction_enc', 'dst_is_any', 'dst_port_numeric']","Significant divergence. SHAP attributes risk to ['action_enc', 'reasoning_length', 'semantic_score'], LIME to ['direction_enc', 'dst_is_any', 'dst_port_numeric']. Policy requires manual review."
W1-003,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'reasoning_length']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_port_numeric']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'reasoning_length']","['action_enc', 'dst_port_numeric']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'reasoning_length'], LIME flags ['action_enc', 'dst_port_numeric']. Moderate reliability."
W1-004,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'dst_is_any']","['semantic_score', 'confidence', 'compliance_severity', 'dst_port_is_any', 'protocol_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['action_enc', 'dst_is_any']","['dst_port_is_any', 'protocol_enc']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['action_enc', 'dst_is_any'], LIME flags ['dst_port_is_any', 'protocol_enc']. Moderate reliability."
W1-005,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'protocol_enc', 'src_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['protocol_enc', 'src_is_any']","['action_enc', 'dst_is_any']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['protocol_enc', 'src_is_any'], LIME flags ['action_enc', 'dst_is_any']. Moderate reliability."
W1-006,,,,,0.4286,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'dst_port_numeric', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'direction_enc']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'dst_port_numeric']","['direction_enc', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'dst_port_numeric'], LIME flags ['direction_enc', 'reasoning_length']. Moderate reliability."
W1-007,,,,,0.6667,,,,0.5,0.682,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_port_numeric'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-008,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'reasoning_length', 'src_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_numeric', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['src_is_any'],['dst_port_numeric'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-009,,,,,0.4286,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'protocol_enc', 'dst_is_any']","['confidence', 'semantic_score', 'compliance_severity', 'reasoning_length', 'dst_port_is_any']",real,PARTIAL_AGREEMENT,"['compliance_severity', 'confidence', 'semantic_score']","['dst_is_any', 'protocol_enc']","['dst_port_is_any', 'reasoning_length']","Methods agree on ['compliance_severity', 'confidence', 'semantic_score'] but diverge: SHAP additionally flags ['dst_is_any', 'protocol_enc'], LIME flags ['dst_port_is_any', 'reasoning_length']. Moderate reliability."
W1-010,,,,,0.6667,,,,0.5,0.8623,correct,"['compliance_severity', 'confidence', 'semantic_score', 'action_enc', 'reasoning_length']","['semantic_score', 'confidence', 'compliance_severity', 'action_enc', 'dst_port_is_any']",real,STRONG_AGREEMENT,"['action_enc', 'compliance_severity', 'confidence', 'semantic_score']",['reasoning_length'],['dst_port_is_any'],"Both methods consistently identify ['action_enc', 'compliance_severity', 'confidence', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-011,,,,,0.6667,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_is_any']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['dst_port_numeric'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-012,,,,,0.6667,,,,0.5,0.5257,dangerous,"['compliance_severity', 'semantic_score', 'confidence', 'reasoning_length', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'dst_port_is_any', 'reasoning_length']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score']",['dst_port_numeric'],['dst_port_is_any'],"Both methods consistently identify ['compliance_severity', 'confidence', 'reasoning_length', 'semantic_score'] as primary risk drivers. High explanation reliability."
W1-013,,,,,0.6667,,,,0.5,0.6465,hallucinated,"['compliance_severity', 'confidence', 'semantic_score', 'dst_is_any', 'dst_port_numeric']","['confidence', 'semantic_score', 'compliance_severity', 'action_enc', 'dst_is_any']",real,STRONG_AGREEMENT,"['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score']",['dst_port_numeric'],['action_enc'],"Both methods consistently identify ['compliance_severity', 'confidence', 'dst_is_any', 'semantic_score'] as primary risk drivers. High explanation reliability."
