Pair ID,Requirement,Actual Label,Predicted Label,Correct,Model Probability,SHAP Score %,LIME Score %,Validator Score %,Model Conf Penalty %,P3 Syntax %,P3 Semantic %,P3 Compliance %,P3 Edge Case %,SHAP Top Word,LIME Top Word,SHAP Contributions,LIME Contributions,XAI Disagreement,Final Score %,Risk Level,Hallucination Type,P3 Halluc Types,Security Impact,Compliance Violation
W1-001,Allow employees to access the company website over HTTPS.,hallucinated,correct,False,0.5857,100.0,17.51,3.77,41.43,0.0,12.6,0.0,0.0,HTTPS,to,"[('Allow', -0.0219), ('employees', -0.0222), ('to', 0.0534)]","[('to', -0.035), ('HTTPS', 0.0309), ('Allow', 0.023)]",HIGH_DISAGREEMENT (gap=82.5%),36.91,REVIEW,wrong_port,,High - rule targets wrong service port,Service-Specific Access Control
W1-002,Block all inbound SSH connections from the internet.,dangerous,correct,False,0.664,34.95,28.74,12.11,33.6,0.0,40.4,0.0,0.0,connections,connections,"[('Block', -0.0397), ('all', -0.0241), ('inbound', -0.0493)]","[('connections', 0.0575), ('inbound', 0.0515), ('all', 0.0368)]",AGREEMENT,25.2,SAFE,over_permissive,missing_constraint,Critical - creates open firewall holes,"Least Privilege, Zero Trust"
W1-003,Allow the database server to communicate with the application server on port 543,correct,correct,True,0.8995,21.98,10.13,3.79,10.05,0.0,12.6,0.0,0.0,database,database,"[('Allow', -0.0086), ('the', 0.0151), ('database', -0.044)]","[('database', 0.0203), ('on', -0.015), ('port', -0.0127)]",AGREEMENT,10.86,SAFE,none,,None - correct rule,
W1-004,Deny all outbound traffic to known malicious IP ranges.,correct,correct,True,0.9004,12.87,7.48,22.89,9.96,16.0,11.5,0.0,65.0,to,to,"[('Deny', 0.0157), ('all', 0.0126), ('outbound', 0.0251)]","[('to', -0.015), ('outbound', -0.0147), ('traffic', 0.0097)]",AGREEMENT,14.59,SAFE,none,nonexistent_object,None - correct rule,
W1-005,Allow DNS queries from internal network to the corporate DNS server.,correct,correct,True,0.8577,14.63,4.89,3.09,14.23,0.0,10.3,0.0,0.0,Allow,to,"[('Allow', -0.0293), ('DNS', -0.0062), ('queries', 0.0204)]","[('to', -0.0098), ('the', -0.0081), ('Allow', 0.0077)]",AGREEMENT,8.1,SAFE,none,,None - correct rule,
W1-006,Allow VPN users to access internal HR systems.,correct,correct,True,0.905,18.11,7.4,6.09,9.5,0.0,20.3,0.0,0.0,Allow,to,"[('Allow', -0.0362), ('VPN', 0.024), ('users', 0.0197)]","[('to', -0.0148), ('internal', -0.0118), ('users', -0.0113)]",AGREEMENT,9.93,SAFE,none,,None - correct rule,
W1-007,Block RDP access from any external IP address.,hallucinated,correct,False,0.6427,36.53,19.41,8.91,35.73,0.0,29.7,0.0,0.0,external,any,"[('Block', -0.0329), ('RDP', 0.0), ('access', -0.0416)]","[('any', 0.0388), ('from', -0.0155), ('external', -0.0124)]",AGREEMENT,22.46,SAFE,missing_constraint,missing_constraint,High - overly broad rule scope,Least Privilege
W1-008,Allow IT admins to SSH into servers only from the management VLAN.,correct,correct,True,0.8951,12.53,6.38,8.11,10.49,0.0,27.0,0.0,0.0,Allow,only,"[('Allow', -0.0251), ('IT', 0.0114), ('admins', 0.0)]","[('only', 0.0128), ('management', -0.0126), ('from', -0.0123)]",AGREEMENT,9.14,SAFE,none,,None - correct rule,
W1-009,Allow remote workers to connect to the file server over port 445.,hallucinated,correct,False,0.7369,21.81,6.08,3.49,26.31,0.0,11.6,0.0,0.0,over,to,"[('Allow', -0.0258), ('remote', -0.0086), ('workers', -0.0252)]","[('to', -0.0122), ('Allow', 0.0094), ('port', -0.0079)]",AGREEMENT,12.14,SAFE,wrong_port,,High - rule targets wrong service port,Service-Specific Access Control
W1-010,Deny any traffic from guest WiFi to the internal corporate network.,correct,correct,True,0.898,29.26,11.32,4.53,10.2,8.0,9.8,0.0,0.0,any,any,"[('Deny', 0.022), ('any', -0.0585), ('traffic', 0.0068)]","[('any', 0.0226), ('corporate', -0.0111), ('to', -0.011)]",AGREEMENT,13.26,SAFE,none,,None - correct rule,
W1-011,Allow web servers to send outbound HTTPS requests to payment APIs.,hallucinated,correct,False,0.5835,67.45,9.45,4.76,41.65,0.0,15.9,0.0,0.0,HTTPS,HTTPS,"[('Allow', -0.0315), ('web', -0.0424), ('servers', 0.0282)]","[('HTTPS', 0.0189), ('to', -0.0185), ('Allow', 0.0105)]",HIGH_DISAGREEMENT (gap=58.0%),27.14,SAFE,wrong_port,,High - rule targets wrong service port,Service-Specific Access Control
